HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\Default\NTUSER.DAT,NtUser,Typed URLs,Browser history,ROOT\Software\Microsoft\Internet Explorer\TypedURLs,url1,(plugin),http://go.microsoft.com/fwlink/p/?LinkId=255141,"Timestamp:  ",Slack: ሀ,IE/Edge Typed URLs,False,False,2017-09-29 13:47:49.1535267,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_TypedURLs_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_Default_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\Default\NTUSER.DAT,NtUser,User Run Key,Autoruns,ROOT\Software\Microsoft\Windows\CurrentVersion\Run,OneDriveSetup,RegSz,C:\Windows\SysWOW64\OneDriveSetup.exe /thfirstsetup,,,User Run Key,False,False,2018-03-27 13:10:49.3918693,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,Typed URLs,Browser history,ROOT\Software\Microsoft\Internet Explorer\TypedURLs,url1,(plugin),http://go.microsoft.com/fwlink/p/?LinkId=255141,"Timestamp:  ",Slack: ሀ,IE/Edge Typed URLs,False,False,2018-03-27 09:56:47.2903807,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_TypedURLs_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,MS Office MRU,File and Folder Opening,ROOT\Software\Microsoft\Office\16.0\Excel\User MRU\LiveId_2709CD201D69E509465D3C60D830CE2490A74738D87E3C8A95FEFEA94316F09F\File MRU,Item 1,(plugin),File name: C:\Users\jcloudy\Downloads\rootkey.csv,Last opened: 2018-04-06 12:27:08.3590000),Last closed: ),MS Office MRU,True,False,2018-04-06 12:27:08.3661737,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_OfficeMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,MS Office MRU,File and Folder Opening,ROOT\Software\Microsoft\Office\16.0\Excel\User MRU\LiveId_2709CD201D69E509465D3C60D830CE2490A74738D87E3C8A95FEFEA94316F09F\Place MRU,Item 1,RegSz,[F00000000][T01D3CDA2947FB5F0][O00000000]*C:\Users\jcloudy\Downloads\,,,MS Office MRU,True,False,2018-04-06 12:27:08.3681736,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,CIDSizeMRU,File Access and Opening,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,0,(plugin),chrome.exe,Opened: 2018-04-06 03:56:32.0078879),Mru: 0,CIDSizeMRU,False,False,2018-04-06 03:56:32.0078879,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_CIDSizeMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,CIDSizeMRU,File Access and Opening,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,1,(plugin),{DA23B47D-BAAE-4EF0-B792-10DB5C547073},Opened: ),Mru: 1,CIDSizeMRU,False,False,2018-04-06 03:56:32.0078879,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_CIDSizeMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,CIDSizeMRU,File Access and Opening,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,2,(plugin),s3browser-win32.exe,Opened: ),Mru: 2,CIDSizeMRU,False,False,2018-04-06 03:56:32.0078879,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_CIDSizeMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,CIDSizeMRU,File Access and Opening,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,4,(plugin),explorer.exe,Opened: ),Mru: 3,CIDSizeMRU,False,False,2018-04-06 03:56:32.0078879,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_CIDSizeMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,CIDSizeMRU,File Access and Opening,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,3,(plugin),{6160A410-4353-47F2-9B44-7F36443D459A},Opened: ),Mru: 4,CIDSizeMRU,False,False,2018-04-06 03:56:32.0078879,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_CIDSizeMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,FirstFolder,File Access and Opening,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\FirstFolder,0,(plugin),"Exe: C:\Program Files (x86)\Google\Chrome\Application\chrome.exe Folder: ",Opened: 2018-03-30 03:30:58.7324977),Mru: 0,OpenSavePidlMRU,False,False,2018-03-30 03:30:58.7324977,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_FirstFolder_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,LastVisitedPidlMRU,File Access and Opening,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\LastVisitedPidlMRU,0,(plugin),Exe: chrome.exe Folder: chrome.exe Absolute path: My Computer\Desktop,Opened: 2018-04-06 03:56:31.9918815),"Mru: 0 Details: Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop


",LastVisitedPidlMRU,False,False,2018-04-06 03:56:31.9918815,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_LastVisitedPidlMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,LastVisitedPidlMRU,File Access and Opening,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\LastVisitedPidlMRU,1,(plugin),Exe: {DA23B47D-BAAE-4EF0-B792-10DB5C547073} Folder: {DA23B47D-BAAE-4EF0-B792-10DB5C547073} Absolute path: My Computer\C:\Users\jcloudy\Desktop,Opened: ),"Mru: 1 Details: Type: Root folder: GUID, Value: My Computer


Type: Drive letter, Value: C:


Type: Directory, Value: Users

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Users
Localized name: @shell32.dll,-21813
Created: 9/29/2017 08:45:12 +00:00
Last access: 3/27/2018 09:36:34 +00:00
MFT entry/sequence #: 1417/1 (0x589/0x1)
File system hint: NTFS

--------------------------------------------------
Short name: Users
Modified: 3/27/2018 09:36:34 +00:00


Type: Directory, Value: jcloudy

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: jcloudy
Created: 3/27/2018 09:19:00 +00:00
Last access: 3/28/2018 00:53:58 +00:00
MFT entry/sequence #: 92991/1 (0x16B3F/0x1)
File system hint: NTFS

--------------------------------------------------
Short name: jcloudy
Modified: 3/28/2018 00:53:58 +00:00


Type: Directory, Value: Desktop

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Desktop
Localized name: @shell32.dll,-21769
Created: 3/27/2018 09:19:00 +00:00
Last access: 4/5/2018 02:20:18 +00:00
MFT entry/sequence #: 93001/1 (0x16B49/0x1)
File system hint: NTFS

--------------------------------------------------
Short name: Desktop
Modified: 4/5/2018 02:20:18 +00:00


",LastVisitedPidlMRU,False,False,2018-04-06 03:56:31.9918815,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_LastVisitedPidlMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,LastVisitedPidlMRU,File Access and Opening,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\LastVisitedPidlMRU,2,(plugin),Exe: s3browser-win32.exe Folder: s3browser-win32.exe Absolute path: My Computer\Desktop,Opened: ),"Mru: 2 Details: Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop

Extension blocks found: 1
---------------------- Block 0 (Beef0026)----------------------
Signature: 0xbeef0026
Size: 38
Version: 1
Version Offset: 0x00


Created: 2018-03-27 09:18:58.7047920
Last modified: 2018-04-05 02:20:17.1953243
Last accessed: 2018-04-05 02:20:17.1953243


--------------------------------------------------

",LastVisitedPidlMRU,False,False,2018-04-06 03:56:31.9918815,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_LastVisitedPidlMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,LastVisitedPidlMRU,File Access and Opening,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\LastVisitedPidlMRU,4,(plugin),Exe: explorer.exe Folder: explorer.exe Absolute path: OneDrive,Opened: ),"Mru: 3 Details: Type: Root folder: GUID, Value: OneDrive

Extension blocks found: 1
---------------------- Block 0 (Beef0026)----------------------
Signature: 0xbeef0026
Size: 38
Version: 1
Version Offset: 0x00


Created: 2018-03-27 09:21:44.2481278
Last modified: 2018-04-04 05:59:44.9753984
Last accessed: 2018-04-04 05:59:44.9753984


--------------------------------------------------

",LastVisitedPidlMRU,False,False,2018-04-06 03:56:31.9918815,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_LastVisitedPidlMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,LastVisitedPidlMRU,File Access and Opening,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\LastVisitedPidlMRU,3,(plugin),Exe: {6160A410-4353-47F2-9B44-7F36443D459A} Folder: {6160A410-4353-47F2-9B44-7F36443D459A} Absolute path: My Computer\Desktop,Opened: ),"Mru: 4 Details: Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop

Extension blocks found: 1
---------------------- Block 0 (Beef0026)----------------------
Signature: 0xbeef0026
Size: 38
Version: 1
Version Offset: 0x00


Created: 2018-03-27 09:18:58.7047920
Last modified: 2018-04-04 04:33:09.7334881
Last accessed: 2018-04-04 04:33:09.7334881


--------------------------------------------------

",LastVisitedPidlMRU,False,False,2018-04-06 03:56:31.9918815,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_LastVisitedPidlMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,OpenSavePidlMRU,File Access and Opening,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU,4,(plugin),Extension: * Absolute path: My Computer\Desktop\LeftUsesBoycotts.pdf,Opened: 2018-04-06 03:56:31.9938825),"Mru: 0 Details: Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop


Short name: LeftUsesBoycotts.pdf

Type: File, Value: LeftUsesBoycotts.pdf

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: LeftUsesBoycotts.pdf
Created: 
Last access: 

--------------------------------------------------

",OpenSavePidlMRU,True,False,2018-04-05 05:48:40.1460411,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_OpenSavePidlMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,OpenSavePidlMRU,File Access and Opening,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU,4,(plugin),Extension: docx Absolute path: My Computer\C:\Users\jcloudy\Desktop\Cloudy thoughts (4apr).docx,Opened: 2018-04-05 02:39:29.7759883),"Mru: 0 Details: Type: Root folder: GUID, Value: My Computer


Type: Drive letter, Value: C:


Type: Directory, Value: Users

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Users
Localized name: @shell32.dll,-21813
Created: 9/29/2017 08:45:12 +00:00
Last access: 3/27/2018 09:36:34 +00:00
MFT entry/sequence #: 1417/1 (0x589/0x1)
File system hint: NTFS

--------------------------------------------------
Short name: Users
Modified: 3/27/2018 09:36:34 +00:00


Type: Directory, Value: jcloudy

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: jcloudy
Created: 3/27/2018 09:19:00 +00:00
Last access: 3/28/2018 00:53:58 +00:00
MFT entry/sequence #: 92991/1 (0x16B3F/0x1)
File system hint: NTFS

--------------------------------------------------
Short name: jcloudy
Modified: 3/28/2018 00:53:58 +00:00


Type: Directory, Value: Desktop

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Desktop
Localized name: @shell32.dll,-21769
Created: 3/27/2018 09:19:00 +00:00
Last access: 4/5/2018 02:20:18 +00:00
MFT entry/sequence #: 93001/1 (0x16B49/0x1)
File system hint: NTFS

--------------------------------------------------
Short name: Desktop
Modified: 4/5/2018 02:20:18 +00:00


Short name: Cloudy thoughts (4apr).docx

Type: File, Value: Cloudy thoughts (4apr).docx

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Cloudy thoughts (4apr).docx
Created: 
Last access: 

--------------------------------------------------

",OpenSavePidlMRU,True,False,2018-04-05 05:48:40.1460411,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_OpenSavePidlMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,OpenSavePidlMRU,File Access and Opening,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU,1,(plugin),"Extension: html Absolute path: My Computer\Desktop\Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html",Opened: 2018-03-30 04:32:25.9577848),"Mru: 0 Details: Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop


Short name: Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html

Type: File, Value: Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html
Created: 
Last access: 

--------------------------------------------------

",OpenSavePidlMRU,True,False,2018-04-05 05:48:40.1460411,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_OpenSavePidlMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Users\jcloudy\NTUSER.DAT,NtUser,OpenSavePidlMRU,File Access and Opening,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU,6,(plugin),Extension: jpg Absolute path: My Computer\Desktop\DemLogic.jpg,Opened: 2018-03-31 04:19:35.0679553),"Mru: 0 Details: Type: Root folder: GUID, Value: My Computer


Type: Root folder: GUID, Value: Desktop


Short name: DemLogic.jpg

Type: File, Value: DemLogic.jpg

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: DemLogic.jpg
Created: 
Last access: 

--------------------------------------------------

",OpenSavePidlMRU,True,False,2018-04-05 05:48:40.1460411,M:\Forensics\Lone Wolf 2018\KAPE\mout\Registry\20201213133932_OpenSavePidlMRU_M_Forensics_Lone Wolf 2018_KAPE_tout_D_Users_jcloudy_NTUSER.DAT.csv
